,행정구역,동,동별 전기차 수,동별 충전소 수
251,강남구,둔촌동,0,4
252,강남구,상일동,0,1
253,강서구,마곡동,0,9
254,강서구,내발산동,0,6
255,강서구,과해동,0,1
256,관악구,봉천동,0,7
257,구로구,천왕동,0,3
258,마포구,상수동,0,2
259,마포구,노고산동,0,1
260,마포구,마포동,0,1
261,마포구,창전동,0,1
262,마포구,토정동,0,1
263,서대문구,냉천동,0,1
264,서초구,우면동,0,8
265,서초구,염곡동,0,2
266,서초구,신원동,0,1
267,서초구,금호동1가,0,1
268,서초구,금호동4가,0,2
269,성동구,금호동2가,0,1
270,성동구,성수동1가,0,3
271,성동구,성수동2가,0,2
272,성동구,하왕십리동,0,2
273,성동구,상왕십리동,0,2
274,성동구,안암동,0,2
275,성북구,하월곡동,0,2
276,성북구,상월곡동,0,1
277,성북구,동소문동7가,0,1
278,송파구,신천동,0,2
279,영등포구,여의도동,0,4
280,용산구,용산동6가,0,1
281,용산구,한강로1가,0,2
282,용산구,원효로1가,0,3
283,용산구,문배동,0,4
284,용산구,청암동,0,1
285,종로구,관철동,0,1
286,종로구,내수동,0,1
287,종로구,소격동,0,1
288,종로구,구기동,0,1
289,종로구,연건동,0,3
290,종로구,수송동,0,1
291,종로구,인의동,0,1
292,중구,만리동,0,1
293,중구,희현동,0,2
294,중구,충무로5가,0,2
295,중구,순화동,0,1
296,중구,남산동3가,0,1
297,중랑구,다동,0,1
